"","Date","clients","Diff_month","Diff_growth","Rate_percent"
"1",2017-10-01,12,NA,NA,NA
"2",2017-11-01,27,1,15,125
"3",2017-12-01,40,1,13,48.1481481481481
"4",2018-01-01,52,-11,12,30
"5",2018-02-01,69,1,17,32.6923076923077
"6",2018-03-01,86,1,17,24.6376811594203
"7",2018-04-01,96,1,10,11.6279069767442
"8",2018-05-01,117,1,21,21.875
"9",2018-06-01,130,1,13,11.1111111111111
"10",2018-07-01,137,1,7,5.38461538461539
"11",2018-08-01,147,1,10,7.2992700729927
"12",2018-09-01,150,1,3,2.04081632653061
"13",2018-10-01,152,1,2,1.33333333333333
