"","Date","orders","Diff_month","Diff_growth","Rate_percent"
"1",2017-10-01,1130,NA,NA,NA
"2",2017-11-01,3892,1,2762,244.424778761062
"3",2017-12-01,7442,1,3550,91.2127440904419
"4",2018-01-01,8247,-11,805,10.8169846815372
"5",2018-02-01,11350,1,3103,37.6258033224203
"6",2018-03-01,17596,1,6246,55.0308370044053
"7",2018-04-01,17539,1,-57,-0.323937258467834
"8",2018-05-01,23393,1,5854,33.3770454415873
"9",2018-06-01,29477,1,6084,26.0077801051597
"10",2018-07-01,35772,1,6295,21.3556332055501
"11",2018-08-01,35110,1,-662,-1.85060941518506
"12",2018-09-01,34601,1,-509,-1.44972942181715
"13",2018-10-01,19530,1,-15071,-43.5565446085373
